PHRASE,TOTAL,aljazeera,alternet,americanconservative,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,time,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,TOPIC,HKG,CHN,RUS,MYANMAR,INDIA,OTHER,bias_score,calculated_bias
a statement,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,9.15e-13,0,0.0,0.0,,,,,,,,,Neutral
about the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,2.02e-13,0,0.0,0.0,,,,,,,,,Neutral
abuse,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,3.77e-13,1,0.0,0.0,,,,,,,,,Neutral
abuses,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,6.07e-12,1,0.0,0.0,,,,,,,,,Neutral
according to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,7.97e-12,0,0.0,0.0,,,,,,,,,Neutral
according to the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,2.25e-13,0,0.0,0.0,,,,,,,,,Neutral
accounts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,2.04e-13,0,0.0,0.0,,,,,,,,,Neutral
accused,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,1.04e-12,0,0.0,0.0,,,,,,,,,Neutral
action,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,2.95e-13,0,0.0,0.0,,,,,,,,,Neutral
actions,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,3.18e-13,0,0.0,0.0,,,,,,,,,Neutral
activist,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,6.98e-13,0,0.0,0.0,,,,,,,,,Neutral
activists,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,3.94e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
added,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,6.91e-13,0,0.0,0.0,,,,,,,,,Neutral
address,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,3.03e-12,0,0.0,0.0,,,,,,,,,Neutral
administration,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,2.92e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
administrations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,2.14e-13,0,0.0,0.0,,,,,,,,,Neutral
affairs,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,2.84e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
after a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,1.84e-13,0,0.0,0.0,,,,,,,,,Neutral
against the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,2.66e-13,0,0.0,0.0,,,,,,,,,Neutral
agents,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,2.96e-13,0,0.0,0.0,,,,,,,,,Neutral
agreeing to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,9.63e-13,0,0.0,0.0,,,,,,,,,Neutral
al Hathloul,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2.03e-13,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
alerts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,9.52e-13,0,0.0,0.0,,,,,,,,,Neutral
allegations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,1.92e-13,0,0.0,0.0,,,,,,,,,Neutral
alleged,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,6.77e-12,0,0.0,0.0,,,,,,,,,Neutral
alleged human rights,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,2.13e-13,0,0.0,0.0,,,,,,,,,Neutral
alleged torture,49.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,22,5.06e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,Left
alleged torture of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,3.24e-13,0,0.0,0.0,,,,,,,,,Neutral
allegedly,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,1.06e-12,0,0.0,0.0,,,,,,,,,Neutral
allies,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,3.74e-13,0,0.0,0.0,,,,,,,,,Neutral
amnesty,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,3.57e-13,1,0.0,0.0,,,,,,,,,Neutral
among,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,2.15e-13,0,0.0,0.0,,,,,,,,,Neutral
among other,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,4.1e-13,0,0.0,0.0,,,,,,,,,Neutral
among other things,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,4.79e-13,0,0.0,0.0,,,,,,,,,Neutral
and Democracy Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,6.5e-13,0,0.0,0.0,,,,,,,,,Neutral
and begin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,7.92e-13,0,0.0,0.0,,,,,,,,,Neutral
and death,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,2.4e-13,0,0.0,0.0,,,,,,,,,Neutral
and free,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,2.32e-12,0,0.0,0.0,,,,,,,,,Neutral
and human rights,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,5.28e-13,0,0.0,0.0,,,,,,,,,Neutral
and its,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,4.24e-13,0,0.0,0.0,,,,,,,,,Neutral
and may be,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,2.94e-13,0,0.0,0.0,,,,,,,,,Neutral
and other,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,2.01e-12,0,0.0,0.0,,,,,,,,,Neutral
and other ethnic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,3.01e-13,0,0.0,0.0,,,,,,,,,Neutral
and produced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,3.99e-13,0,0.0,0.0,,,,,,,,,Neutral
and special,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,9.77e-13,0,0.0,0.0,,,,,,,,,Neutral
and the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,5.6e-12,0,0.0,0.0,,,,,,,,,Neutral
and violent,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,1.04e-12,0,0.0,0.0,,,,,,,,,Neutral
announced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,2.5e-13,0,0.0,0.0,,,,,,,,,Neutral
anti,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,5.47e-13,0,0.0,0.0,,,,,,,,,Neutral
anti government,776.0,104.0,1.0,1.0,31.0,0.0,0.0,16.0,31.0,1.0,3.0,7.0,13.0,116.0,11.0,5.0,6.0,7.0,2.0,0.0,43.0,4.0,2.0,1.0,28.0,4.0,73.0,3.0,8.0,3.0,2.0,12.0,5.0,9.0,15.0,5.0,11.0,16.0,3.0,2.0,2.0,2.0,11.0,0.0,5.0,9.0,1.0,1.0,4.0,7.0,8.0,12.0,0.0,3.0,7.0,43.0,0.0,29,4.1e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-186.0,Left
are created,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,2.15e-13,0,0.0,0.0,,,,,,,,,Neutral
are happening,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,8.42e-13,0,0.0,0.0,,,,,,,,,Neutral
are working,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,1.83e-13,0,0.0,0.0,,,,,,,,,Neutral
armed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,1.9e-13,0,0.0,0.0,,,,,,,,,Neutral
arms,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,2.01e-13,0,0.0,0.0,,,,,,,,,Neutral
army,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,8.54e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
around,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,2.27e-13,0,0.0,0.0,,,,,,,,,Neutral
arrest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,2.7e-13,0,0.0,0.0,,,,,,,,,Neutral
arrested,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2.13e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
article,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,2.98e-12,0,0.0,0.0,,,,,,,,,Neutral
as a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,2.12e-13,0,0.0,0.0,,,,,,,,,Neutral
as of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,1.79e-12,0,0.0,0.0,,,,,,,,,Neutral
as the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,4.79e-13,0,0.0,0.0,,,,,,,,,Neutral
as well as,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,2.45e-13,0,0.0,0.0,,,,,,,,,Neutral
assessment,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,3.62e-13,0,0.0,0.0,,,,,,,,,Neutral
assessment of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,4.57e-13,0,0.0,0.0,,,,,,,,,Neutral
assessment of the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,3.78e-13,0,0.0,0.0,,,,,,,,,Neutral
asylum,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,4.06e-12,1,0.0,0.0,,,,,,,,,Neutral
asylum seekers,319.0,22.0,4.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,0.0,15.0,49.0,1.0,35.0,19.0,1.0,10.0,2.0,2.0,1.0,6.0,2.0,0.0,37.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,14.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,20.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,17.0,0.0,21,5.37e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-168.0,Left
at any,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,8.3e-13,0,0.0,0.0,,,,,,,,,Neutral
at any time,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,9.06e-13,0,0.0,0.0,,,,,,,,,Neutral
at the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,4.82e-13,0,0.0,0.0,,,,,,,,,Neutral
audience,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,7.24e-13,0,0.0,0.0,,,,,,,,,Neutral
author,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,1.89e-13,0,0.0,0.0,,,,,,,,,Neutral
authoritarian,1394.0,86.0,24.0,10.0,18.0,3.0,8.0,10.0,70.0,7.0,15.0,6.0,11.0,46.0,60.0,12.0,112.0,21.0,10.0,4.0,24.0,32.0,25.0,20.0,38.0,5.0,143.0,6.0,32.0,8.0,18.0,7.0,7.0,38.0,29.0,0.0,20.0,10.0,13.0,12.0,3.0,3.0,20.0,3.0,1.0,9.0,11.0,18.0,0.0,10.0,15.0,20.0,1.0,12.0,17.0,224.0,0.0,15,8.44e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-376.0,Left
authoritative,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,3.64e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
authorities,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,2.58e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
autonomous,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,2.4e-13,0,0.0,0.0,,,,,,,,,Neutral
autonomy,1564.0,179.0,2.0,7.0,25.0,6.0,4.0,31.0,143.0,15.0,0.0,2.0,21.0,75.0,15.0,8.0,44.0,14.0,14.0,1.0,49.0,18.0,17.0,7.0,85.0,5.0,168.0,1.0,5.0,7.0,15.0,3.0,9.0,35.0,34.0,3.0,57.0,20.0,5.0,0.0,2.0,8.0,35.0,7.0,14.0,13.0,5.0,22.0,0.0,35.0,8.0,34.0,1.0,12.0,34.0,166.0,2.0,23,4.9e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-195.0,Left
availability,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,3.21e-13,0,0.0,0.0,,,,,,,,,Neutral
available,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,4.71e-13,0,0.0,0.0,,,,,,,,,Neutral
back,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,8.56e-13,0,0.0,0.0,,,,,,,,,Neutral
back in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,6.02e-13,0,0.0,0.0,,,,,,,,,Neutral
backed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,3.62e-13,0,0.0,0.0,,,,,,,,,Neutral
bail,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,1.89e-13,0,0.0,0.0,,,,,,,,,Neutral
ban,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,3.84e-13,0,0.0,0.0,,,,,,,,,Neutral
be interested,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,8.58e-13,0,0.0,0.0,,,,,,,,,Neutral
because of its,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,2.53e-13,0,0.0,0.0,,,,,,,,,Neutral
become,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,2.69e-13,0,0.0,0.0,,,,,,,,,Neutral
begin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,4.53e-13,0,0.0,0.0,,,,,,,,,Neutral
big,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,2.04e-12,0,0.0,0.0,,,,,,,,,Neutral
bill,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,7.75e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
bill that,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967,2.05e-13,0,0.0,0.0,,,,,,,,,Neutral
billionaires,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,2.34e-13,0,0.0,0.0,,,,,,,,,Neutral
bin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,3.57e-13,0,0.0,0.0,,,,,,,,,Neutral
bipartisan,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993,1.8e-13,0,0.0,0.0,,,,,,,,,Neutral
block,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,2.42e-13,0,0.0,0.0,,,,,,,,,Neutral
box,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,6.36e-13,0,0.0,0.0,,,,,,,,,Neutral
breaking,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,4.83e-13,0,0.0,0.0,,,,,,,,,Neutral
bring,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,1.87e-13,0,0.0,0.0,,,,,,,,,Neutral
broader,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,1.93e-13,0,0.0,0.0,,,,,,,,,Neutral
business,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,1.82e-13,0,0.0,0.0,,,,,,,,,Neutral
by The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,7.61e-13,0,0.0,0.0,,,,,,,,,Neutral
by the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,4.52e-12,0,0.0,0.0,,,,,,,,,Neutral
called,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,5.1e-13,0,0.0,0.0,,,,,,,,,Neutral
cameras,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,1.09e-12,0,0.0,0.0,,,,,,,,,Neutral
campaign,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,8.92e-13,0,0.0,0.0,,,,,,,,,Neutral
campaign of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,3.29e-13,0,0.0,0.0,,,,,,,,,Neutral
camps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,4.76e-12,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
can provide a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,8.8e-13,0,0.0,0.0,,,,,,,,,Neutral
cant do,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,2.87e-13,0,0.0,0.0,,,,,,,,,Neutral
capital,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,2.66e-13,0,0.0,0.0,,,,,,,,,Neutral
case,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,7.27e-13,0,0.0,0.0,,,,,,,,,Neutral
cases,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,3.25e-13,0,0.0,0.0,,,,,,,,,Neutral
censorship,793.0,99.0,1.0,6.0,3.0,3.0,3.0,9.0,44.0,10.0,10.0,2.0,4.0,57.0,30.0,3.0,17.0,11.0,9.0,0.0,7.0,6.0,11.0,5.0,10.0,1.0,66.0,1.0,25.0,34.0,2.0,9.0,7.0,22.0,23.0,1.0,11.0,2.0,11.0,10.0,0.0,2.0,9.0,6.0,0.0,2.0,26.0,6.0,2.0,8.0,8.0,9.0,0.0,20.0,10.0,91.0,5.0,13,1.04e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-245.0,Left
change,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,3.99e-13,0,0.0,0.0,,,,,,,,,Neutral
charge,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,3.56e-13,0,0.0,0.0,,,,,,,,,Neutral
charge to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,9.28e-13,0,0.0,0.0,,,,,,,,,Neutral
charges,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,1.35e-12,0,0.0,0.0,,,,,,,,,Neutral
check,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,5.6e-13,0,0.0,0.0,,,,,,,,,Neutral
children,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,1.04e-12,0,0.0,0.0,,,,,,,,,Neutral
citizens,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,4.92e-13,0,0.0,0.0,,,,,,,,,Neutral
city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,4.34e-12,0,0.0,0.0,,,,,,,,,Neutral
civil,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,5.13e-13,1,1.0,0.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,Neutral
claims,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1.87e-13,0,0.0,0.0,,,,,,,,,Neutral
class,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,7.96e-13,0,0.0,0.0,,,,,,,,,Neutral
comment,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,1.52e-12,0,0.0,0.0,,,,,,,,,Neutral
