PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
You can,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,353,0,0.0,0.0,,Neutral
You know,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,560,0,0.0,0.0,,Neutral
a Black,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,76,0,0.0,0.0,,Neutral
a Black Lives,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,34,0,0.0,0.0,,Neutral
a Jewish,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,959,0,0.0,0.0,,Neutral
a Palestinian,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,1453,0,0.0,0.0,,Neutral
a friend,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,221,0,0.0,0.0,,Neutral
a knee,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,42,0,0.0,0.0,,Neutral
a large,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,498,0,0.0,0.0,,Neutral
a lot of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,1184,0,0.0,0.0,,Neutral
a news conference,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,83,0,0.0,0.0,,Neutral
a protest,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,201,0,0.0,0.0,,Neutral
a protest against,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,69,0,0.0,0.0,,Neutral
a statement,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,1169,0,0.0,0.0,,Neutral
about the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864,3615,0,0.0,0.0,,Neutral
academic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,530,0,0.0,0.0,,Neutral
according to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,2183,0,0.0,0.0,,Neutral
according to the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,700,0,0.0,0.0,,Neutral
across,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,1970,0,0.0,0.0,,Neutral
across the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,1342,0,0.0,0.0,,Neutral
action,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,1590,0,0.0,0.0,,Neutral
activist,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,931,0,0.0,0.0,,Neutral
activists,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,1417,0,0.0,0.0,,Neutral
actually,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,1899,0,0.0,0.0,,Neutral
added,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,1608,0,0.0,0.0,,Neutral
administration,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,3574,0,0.0,0.0,,Neutral
administrations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,1007,0,0.0,0.0,,Neutral
adviser,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,619,0,0.0,0.0,,Neutral
adviser Jared Kushner,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,105,0,0.0,0.0,,Neutral
after the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,2140,0,0.0,0.0,,Neutral
against police,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,47,0,0.0,0.0,,Neutral
against police brutality,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,32,0,0.0,0.0,,Neutral
against the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,2569,0,0.0,0.0,,Neutral
agency,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,863,0,0.0,0.0,,Neutral
agreed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,738,0,0.0,0.0,,Neutral
agreement,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,1360,0,0.0,0.0,,Neutral
agreements,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,430,0,0.0,0.0,,Neutral
aid,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,1586,0,0.0,0.0,,Neutral
al Qaeda,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,298,1,1.0,0.0,,Neutral
al Sham,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,29,1,1.0,0.0,,Neutral
alerts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,69,0,0.0,0.0,,Neutral
and Bahrain,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,79,0,0.0,0.0,,Neutral
and I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,1554,0,0.0,0.0,,Neutral
and Israel,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,1049,0,0.0,0.0,,Neutral
and free,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,96,0,0.0,0.0,,Neutral
and his,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,1953,0,0.0,0.0,,Neutral
and other,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,2079,0,0.0,0.0,,Neutral
and racism,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,96,0,0.0,0.0,,Neutral
and special,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,80,0,0.0,0.0,,Neutral
and stories,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,126,0,0.0,0.0,,Neutral
and the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,15515,0,0.0,0.0,,Neutral
and the UAE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,95,0,0.0,0.0,,Neutral
and the United,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,613,0,0.0,0.0,,Neutral
and then,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986,1146,0,0.0,0.0,,Neutral
and they,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,922,0,0.0,0.0,,Neutral
annexation,1819.0,246.0,25.0,5.0,0.0,0.0,76.0,5.0,0.0,13.0,65.0,1.0,55.0,2.0,28.0,196.0,46.0,36.0,116.0,1.0,13.0,6.0,24.0,0.0,34.0,21.0,124.0,0.0,8.0,5.0,43.0,49.0,13.0,98.0,11.0,61.0,4.0,16.0,9.0,17.0,4.0,2.0,5.0,29.0,1.0,38.0,0.0,30.0,2.0,6.0,11.0,11.0,2.0,12.0,2.0,46.0,135.0,0,1819,1,1.0,1.0,-652.0,Left
anniversary of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,271,0,0.0,0.0,,Neutral
announced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,1395,0,0.0,0.0,,Neutral
anti,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,8178,0,0.0,0.0,,Neutral
anti Israel,584.0,6.0,2.0,2.0,12.0,10.0,1.0,2.0,1.0,0.0,74.0,3.0,4.0,1.0,0.0,17.0,0.0,3.0,3.0,78.0,0.0,4.0,0.0,26.0,84.0,3.0,11.0,1.0,0.0,5.0,10.0,7.0,1.0,17.0,13.0,7.0,0.0,7.0,15.0,6.0,1.0,1.0,37.0,4.0,18.0,11.0,1.0,0.0,1.0,27.0,1.0,13.0,1.0,9.0,1.0,3.0,18.0,1,584,1,1.0,1.0,290.0,Right
anti Palestinian,109.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,19.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,16.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2,109,1,1.0,1.0,-50.0,Left
anti Semitic,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,1561,1,0.0,0.0,,Neutral
anti Semitism,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,2053,1,1.0,0.0,,Neutral
are happening,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,45,0,0.0,0.0,,Neutral
areas,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1129,0,0.0,0.0,,Neutral
arms,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,912,0,0.0,0.0,,Neutral
army,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,1150,0,0.0,0.0,,Neutral
around,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,3341,0,0.0,0.0,,Neutral
art,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,379,0,0.0,0.0,,Neutral
article,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,1516,0,0.0,0.0,,Neutral
as a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,8154,0,0.0,0.0,,Neutral
as an,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,1700,0,0.0,0.0,,Neutral
as of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,242,0,0.0,0.0,,Neutral
as one,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,395,0,0.0,0.0,,Neutral
as the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,5403,0,0.0,0.0,,Neutral
as well,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,2722,0,0.0,0.0,,Neutral
as well as,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,1876,0,0.0,0.0,,Neutral
asked,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,1721,0,0.0,0.0,,Neutral
at a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,1833,0,0.0,0.0,,Neutral
at pm,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,98,0,0.0,0.0,,Neutral
at the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,8716,0,0.0,0.0,,Neutral
attack,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2610,1,1.0,0.0,,Neutral
attacks,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,2485,0,0.0,0.0,,Neutral
audience,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,494,0,0.0,0.0,,Neutral
author,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,1166,0,0.0,0.0,,Neutral
author of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,582,0,0.0,0.0,,Neutral
available,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,548,0,0.0,0.0,,Neutral
back,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,4495,0,0.0,0.0,,Neutral
band,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,109,0,0.0,0.0,,Neutral
banned,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,397,0,0.0,0.0,,Neutral
based,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,2407,0,0.0,0.0,,Neutral
be interested,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,124,0,0.0,0.0,,Neutral
became,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,1688,0,0.0,0.0,,Neutral
become,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,2536,0,0.0,0.0,,Neutral
best,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,1687,0,0.0,0.0,,Neutral
better,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,1658,0,0.0,0.0,,Neutral
between Israel and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873,549,0,0.0,0.0,,Neutral
between the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,1651,0,0.0,0.0,,Neutral
bill,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1094,0,0.0,0.0,,Neutral
billion,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,1026,0,0.0,0.0,,Neutral
bin,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,668,0,0.0,0.0,,Neutral
bin Laden,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,252,1,1.0,0.0,,Neutral
black,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,1586,0,0.0,0.0,,Neutral
black man,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,46,0,0.0,0.0,,Neutral
bombing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,611,1,1.0,0.0,,Neutral
book,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,1971,0,0.0,0.0,,Neutral
border,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,2004,0,0.0,0.0,,Neutral
boycott,1391.0,107.0,11.0,12.0,3.0,1.0,4.0,19.0,1.0,0.0,13.0,6.0,50.0,7.0,35.0,132.0,21.0,5.0,72.0,24.0,5.0,4.0,4.0,55.0,55.0,15.0,42.0,6.0,0.0,1.0,107.0,40.0,2.0,142.0,5.0,27.0,1.0,21.0,9.0,21.0,0.0,0.0,9.0,31.0,17.0,36.0,4.0,10.0,19.0,12.0,1.0,28.0,53.0,12.0,1.0,16.0,54.0,7,1391,1,1.0,1.0,-366.0,Left
brothers,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,300,0,0.0,0.0,,Neutral
brutality,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,235,0,0.0,0.0,,Neutral
brutality and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,49,0,0.0,0.0,,Neutral
business,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,1138,0,0.0,0.0,,Neutral
called,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,4735,0,0.0,0.0,,Neutral
camp,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,763,0,0.0,0.0,,Neutral
campaign,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,3225,0,0.0,0.0,,Neutral
campus,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,449,0,0.0,0.0,,Neutral
can provide,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,84,0,0.0,0.0,,Neutral
candidates,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,914,0,0.0,0.0,,Neutral
cant,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,1495,0,0.0,0.0,,Neutral
capital,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,2064,0,0.0,0.0,,Neutral
care,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,1235,0,0.0,0.0,,Neutral
case,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,2466,0,0.0,0.0,,Neutral
cases,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,1394,0,0.0,0.0,,Neutral
cause of death,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,103,0,0.0,0.0,,Neutral
cent,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,154,0,0.0,0.0,,Neutral
century,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,1741,0,0.0,0.0,,Neutral
ceremony,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,288,0,0.0,0.0,,Neutral
change,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,2502,0,0.0,0.0,,Neutral
characters,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,130,0,0.0,0.0,,Neutral
charge,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,667,0,0.0,0.0,,Neutral
charge to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,76,0,0.0,0.0,,Neutral
check,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,333,0,0.0,0.0,,Neutral
children,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,2864,0,0.0,0.0,,Neutral
church,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,360,0,0.0,0.0,,Neutral
citizens,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,1772,0,0.0,0.0,,Neutral
city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,2139,0,0.0,0.0,,Neutral
civilians,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,1059,0,0.0,0.0,,Neutral
claim,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,1339,0,0.0,0.0,,Neutral
class,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,1185,0,0.0,0.0,,Neutral
classified,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,155,0,0.0,0.0,,Neutral
closed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,637,0,0.0,0.0,,Neutral
closing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,222,0,0.0,0.0,,Neutral
closings,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,56,0,0.0,0.0,,Neutral
coalition,896.0,98.0,5.0,2.0,1.0,1.0,17.0,1.0,0.0,11.0,5.0,0.0,13.0,2.0,25.0,77.0,8.0,14.0,49.0,8.0,7.0,25.0,14.0,0.0,25.0,17.0,47.0,4.0,1.0,4.0,24.0,23.0,6.0,107.0,5.0,19.0,2.0,8.0,2.0,11.0,3.0,1.0,2.0,18.0,9.0,14.0,3.0,4.0,6.0,30.0,9.0,20.0,5.0,14.0,10.0,15.0,45.0,8,896,1,1.0,1.0,-268.0,Left
colonial,856.0,155.0,2.0,1.0,1.0,1.0,16.0,0.0,0.0,3.0,17.0,0.0,14.0,0.0,11.0,50.0,38.0,21.0,129.0,1.0,1.0,6.0,0.0,0.0,8.0,23.0,31.0,2.0,1.0,2.0,26.0,58.0,13.0,58.0,12.0,6.0,0.0,1.0,0.0,8.0,7.0,0.0,5.0,4.0,0.0,6.0,0.0,0.0,9.0,10.0,20.0,33.0,1.0,14.0,0.0,1.0,30.0,30,856,1,1.0,1.0,-322.0,Left
commander,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,357,0,0.0,0.0,,Neutral
comment,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,705,0,0.0,0.0,,Neutral
comments,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,1113,0,0.0,0.0,,Neutral
commonwealth,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,30,1,1.0,0.0,,Neutral
communist,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,182,1,1.0,0.0,,Neutral
